ID,Nombre,Entrada,ID_Asiento,VIP
1,Asistente_1,si,55,si
2,Asistente_2,si,738,no
3,Asistente_3,si,1292,no
4,Asistente_4,si,1826,no
5,Asistente_5,si,960,no
6,Asistente_6,no,,no
7,Asistente_7,si,1285,si
8,Asistente_8,no,,no
9,Asistente_9,si,19,si
10,Asistente_10,si,204,no
11,Asistente_11,no,,no
12,Asistente_12,no,,si
13,Asistente_13,si,643,no
14,Asistente_14,no,,si
15,Asistente_15,no,,si
16,Asistente_16,no,,si
17,Asistente_17,no,,si
18,Asistente_18,no,,no
19,Asistente_19,si,1319,si
20,Asistente_20,no,,no
21,Asistente_21,no,,no
22,Asistente_22,si,1713,si
23,Asistente_23,no,,no
24,Asistente_24,no,,no
25,Asistente_25,no,,no
26,Asistente_26,si,205,no
27,Asistente_27,si,796,no
28,Asistente_28,no,,no
29,Asistente_29,no,,si
30,Asistente_30,no,,no
31,Asistente_31,si,179,si
32,Asistente_32,no,,no
33,Asistente_33,no,,si
34,Asistente_34,no,,si
35,Asistente_35,no,,si
36,Asistente_36,no,,si
37,Asistente_37,si,1813,no
38,Asistente_38,no,,no
39,Asistente_39,si,1723,no
40,Asistente_40,si,1345,no
41,Asistente_41,no,,si
42,Asistente_42,no,,no
43,Asistente_43,no,,no
44,Asistente_44,si,1561,si
45,Asistente_45,si,139,si
46,Asistente_46,si,1790,no
47,Asistente_47,no,,no
48,Asistente_48,no,,no
49,Asistente_49,no,,si
50,Asistente_50,si,1934,no
51,Asistente_51,si,212,no
52,Asistente_52,no,,si
53,Asistente_53,si,1062,no
54,Asistente_54,si,134,si
55,Asistente_55,si,1742,si
56,Asistente_56,no,,no
57,Asistente_57,si,506,no
58,Asistente_58,si,550,no
59,Asistente_59,si,1659,si
60,Asistente_60,no,,no
61,Asistente_61,no,,no
62,Asistente_62,si,581,si
63,Asistente_63,si,530,no
64,Asistente_64,no,,no
65,Asistente_65,si,1511,no
66,Asistente_66,si,1097,no
67,Asistente_67,si,287,si
68,Asistente_68,si,312,si
69,Asistente_69,si,465,si
70,Asistente_70,no,,si
71,Asistente_71,no,,si
72,Asistente_72,si,473,no
73,Asistente_73,si,1440,no
74,Asistente_74,no,,no
75,Asistente_75,no,,si
76,Asistente_76,si,1216,no
77,Asistente_77,si,811,si
78,Asistente_78,no,,no
79,Asistente_79,no,,no
80,Asistente_80,si,253,no
81,Asistente_81,no,,no
82,Asistente_82,no,,no
83,Asistente_83,si,767,si
84,Asistente_84,si,660,no
85,Asistente_85,no,,si
86,Asistente_86,si,140,si
87,Asistente_87,si,64,no
88,Asistente_88,si,550,no
89,Asistente_89,si,748,si
90,Asistente_90,si,321,no
91,Asistente_91,si,1013,si
92,Asistente_92,si,1269,si
93,Asistente_93,no,,no
94,Asistente_94,si,12,si
95,Asistente_95,si,1886,no
96,Asistente_96,no,,no
97,Asistente_97,si,998,si
98,Asistente_98,no,,si
99,Asistente_99,no,,no
100,Asistente_100,no,,si
101,Asistente_101,no,,si
102,Asistente_102,no,,no
103,Asistente_103,no,,si
104,Asistente_104,no,,si
105,Asistente_105,no,,no
106,Asistente_106,si,369,no
107,Asistente_107,no,,si
108,Asistente_108,si,746,no
109,Asistente_109,si,1053,no
110,Asistente_110,si,188,si
111,Asistente_111,si,1260,si
112,Asistente_112,no,,no
113,Asistente_113,si,781,si
114,Asistente_114,no,,si
115,Asistente_115,si,480,no
116,Asistente_116,si,1220,si
117,Asistente_117,no,,si
118,Asistente_118,no,,no
119,Asistente_119,si,589,no
120,Asistente_120,no,,si
121,Asistente_121,no,,no
122,Asistente_122,no,,no
123,Asistente_123,si,436,no
124,Asistente_124,no,,no
125,Asistente_125,no,,no
126,Asistente_126,no,,si
127,Asistente_127,si,500,si
128,Asistente_128,no,,no
129,Asistente_129,no,,no
130,Asistente_130,no,,si
131,Asistente_131,si,1165,si
132,Asistente_132,si,1233,si
133,Asistente_133,no,,no
134,Asistente_134,si,832,no
135,Asistente_135,no,,no
136,Asistente_136,si,518,si
137,Asistente_137,si,1684,no
138,Asistente_138,si,1712,si
139,Asistente_139,no,,no
140,Asistente_140,no,,no
141,Asistente_141,si,1325,no
142,Asistente_142,no,,no
143,Asistente_143,si,1774,si
144,Asistente_144,si,49,no
145,Asistente_145,si,766,si
146,Asistente_146,no,,no
147,Asistente_147,si,543,no
148,Asistente_148,no,,si
149,Asistente_149,no,,si
150,Asistente_150,no,,no
151,Asistente_151,si,77,no
152,Asistente_152,si,622,no
153,Asistente_153,no,,no
154,Asistente_154,no,,si
155,Asistente_155,no,,si
156,Asistente_156,no,,no
157,Asistente_157,no,,si
158,Asistente_158,si,1337,si
159,Asistente_159,no,,si
160,Asistente_160,no,,no
161,Asistente_161,no,,si
162,Asistente_162,no,,si
163,Asistente_163,no,,si
164,Asistente_164,si,1952,no
165,Asistente_165,no,,si
166,Asistente_166,no,,si
167,Asistente_167,no,,si
168,Asistente_168,si,1874,si
169,Asistente_169,no,,no
170,Asistente_170,si,137,si
171,Asistente_171,si,795,si
172,Asistente_172,si,1347,si
173,Asistente_173,si,497,no
174,Asistente_174,no,,no
175,Asistente_175,si,1383,no
176,Asistente_176,si,1666,si
177,Asistente_177,no,,no
178,Asistente_178,si,609,si
179,Asistente_179,no,,si
180,Asistente_180,no,,no
181,Asistente_181,si,1084,si
182,Asistente_182,si,1984,si
183,Asistente_183,si,94,no
184,Asistente_184,no,,no
185,Asistente_185,no,,no
186,Asistente_186,si,1537,si
187,Asistente_187,no,,si
188,Asistente_188,no,,si
189,Asistente_189,no,,si
190,Asistente_190,no,,no
191,Asistente_191,si,41,no
192,Asistente_192,no,,si
193,Asistente_193,si,756,si
194,Asistente_194,no,,no
195,Asistente_195,si,1163,no
196,Asistente_196,no,,no
197,Asistente_197,si,1795,si
198,Asistente_198,si,510,no
199,Asistente_199,no,,si
200,Asistente_200,si,338,no
201,Asistente_201,si,1860,no
202,Asistente_202,si,1472,si
203,Asistente_203,no,,no
204,Asistente_204,no,,si
205,Asistente_205,si,428,no
206,Asistente_206,no,,si
207,Asistente_207,si,1286,si
208,Asistente_208,no,,si
209,Asistente_209,no,,no
210,Asistente_210,si,189,no
211,Asistente_211,no,,si
212,Asistente_212,no,,no
213,Asistente_213,si,1317,no
214,Asistente_214,no,,si
215,Asistente_215,si,296,si
216,Asistente_216,no,,no
217,Asistente_217,si,797,no
218,Asistente_218,no,,no
219,Asistente_219,si,1823,si
220,Asistente_220,si,1195,si
221,Asistente_221,si,917,no
222,Asistente_222,no,,si
223,Asistente_223,si,1962,no
224,Asistente_224,si,1175,si
225,Asistente_225,si,237,no
226,Asistente_226,no,,no
